BA,Month,Hour,Transportation_Load_Penetration_Percentage
AZPS,3,3,3.86
AZPS,3,3,3.48
AZPS,3,3,3.2
AZPS,3,3,3.17
AZPS,3,3,4.09
AZPS,3,3,6.63
AZPS,3,3,7.73
AZPS,3,3,7.37
AZPS,3,3,6.95
AZPS,3,3,7.08
AZPS,3,3,6.94
AZPS,3,3,7.82
AZPS,3,3,9.19
AZPS,3,3,9.74
AZPS,3,3,10.58
AZPS,3,3,10.43
AZPS,4,4,10.51
AZPS,4,4,11.1
AZPS,4,4,9.34
AZPS,4,4,8.35
AZPS,4,4,7.71
AZPS,4,4,6.99
AZPS,4,4,6.26
AZPS,4,4,5.77
AZPS,4,4,5.58
AZPS,4,4,4.86
AZPS,4,4,4.8
AZPS,4,4,4.56
AZPS,4,4,4.52
AZPS,4,4,6.95
AZPS,4,4,7.35
AZPS,4,4,7.92
AZPS,4,4,7.21
AZPS,4,4,6.64
AZPS,4,4,6.36
AZPS,4,4,6.48
AZPS,4,4,6.79
AZPS,4,4,7.27
AZPS,4,4,8.34
AZPS,4,4,9.37
AZPS,5,5,8.49
AZPS,5,5,8.41
AZPS,5,5,6.42
AZPS,5,5,6.88
AZPS,5,5,7.33
AZPS,5,5,5.8
AZPS,5,5,5.35
AZPS,5,5,4.16
AZPS,5,5,3.77
AZPS,5,5,3.57
AZPS,5,5,3.56
AZPS,5,5,3.5
AZPS,5,5,4.4
AZPS,5,5,5.96
AZPS,5,5,8.23
AZPS,5,5,9.07
AZPS,5,5,7.43
AZPS,5,5,6.58
AZPS,5,5,6.3
AZPS,5,5,6.08
AZPS,5,5,5.04
AZPS,5,5,5.56
AZPS,5,5,5.71
AZPS,5,5,6.58
AZPS,6,6,6.99
AZPS,6,6,7.15
AZPS,6,6,6.8
AZPS,6,6,5.94
AZPS,6,6,5.31
AZPS,6,6,4.84
AZPS,6,6,4.47
AZPS,6,6,3.83
AZPS,6,6,3.39
AZPS,6,6,3.17
AZPS,6,6,3.02
AZPS,6,6,3.13
AZPS,6,6,3.84
AZPS,6,6,5.57
AZPS,6,6,7.5
AZPS,6,6,8.33
AZPS,6,6,6.87
AZPS,6,6,5.11
AZPS,6,6,4.79
AZPS,6,6,4.61
AZPS,6,6,4.5
AZPS,6,6,4.45
AZPS,6,6,4.94
AZPS,6,6,6.46
AZPS,7,7,6.48
AZPS,7,7,6.57
AZPS,7,7,6.35
AZPS,7,7,6.13
AZPS,7,7,4.92
AZPS,7,7,4.75
AZPS,7,7,3.97
AZPS,7,7,3.4
AZPS,7,7,3.09
AZPS,7,7,2.87
AZPS,7,7,2.75
AZPS,7,7,2.86
AZPS,7,7,3.78
AZPS,7,7,5.99
AZPS,7,7,6.42
AZPS,7,7,6.96
AZPS,7,7,6.14
AZPS,7,7,4.92
AZPS,7,7,4.52
AZPS,7,7,4.63
AZPS,7,7,6.51
AZPS,7,7,5.7
AZPS,7,7,4.96
AZPS,7,7,5.57
AZPS,8,8,6.97
AZPS,8,8,7.16
AZPS,8,8,7.82
AZPS,8,8,6.16
AZPS,8,8,5.46
AZPS,8,8,5.51
AZPS,8,8,5.86
AZPS,8,8,4.2
AZPS,8,8,3.8
AZPS,8,8,3.81
AZPS,8,8,3.34
AZPS,8,8,3.28
AZPS,8,8,3.95
AZPS,8,8,5.4
AZPS,8,8,7.12
AZPS,8,8,8.21
AZPS,8,8,6.62
AZPS,8,8,4.97
AZPS,8,8,4.53
AZPS,8,8,4.32
AZPS,8,8,4.02
AZPS,8,8,4.21
AZPS,8,8,4.69
AZPS,8,8,5.42
AZPS,9,9,7.65
AZPS,9,9,10.25
AZPS,9,9,8.76
AZPS,9,9,6.35
AZPS,9,9,5.87
