BA,Hour,Total_Load_MWh,Transportation_Load_MWh,Non-Transportation_Load_MWh
BANC,21,2678.6653972602735,133.8132876712329,2544.852109589041
BANC,22,2767.639178082192,148.7214794520548,2618.917698630137
BANC,23,2855.9561095890413,171.8681369863014,2684.0879726027392
BPAT,0,7997.623068493151,291.27052054794524,7706.3525479452055
BPAT,1,8280.460575342466,323.17016438356166,7957.290410958904
BPAT,2,8438.163342465754,302.2011506849315,8135.962191780823
BPAT,3,8485.200410958903,261.10698630136983,8224.093424657536
BPAT,4,8357.295890410958,232.1024931506849,8125.193397260274
BPAT,5,8026.998630136986,200.93810958904112,7826.060520547945
BPAT,6,7611.194904109588,168.12435616438356,7443.070547945205
BPAT,7,7178.442493150686,125.58934246575343,7052.853150684931
BPAT,8,6780.471315068493,97.41589041095891,6683.055424657534
BPAT,9,6517.272383561643,79.73194520547946,6437.540438356164
BPAT,10,6404.803726027399,68.05309589041096,6336.750630136988
BPAT,11,6444.320794520548,61.912027397260275,6382.408767123288
BPAT,12,6640.010520547946,65.28246575342466,6574.728054794521
BPAT,13,6993.2838630136985,90.1738904109589,6903.109972602739
BPAT,14,7451.722246575343,136.32816438356164,7315.39408219178
BPAT,15,7888.7243013698635,201.6456712328767,7687.078630136987
BPAT,16,8148.418410958903,204.52679452054795,7943.891616438356
BPAT,17,8212.853424657535,192.0356438356164,8020.817780821917
BPAT,18,8137.275178082193,177.41742465753424,7959.857753424658
BPAT,19,8062.0741369863,181.22205479452055,7880.852082191782
BPAT,20,7994.305123287671,187.89994520547944,7806.405178082191
BPAT,21,7930.931780821918,189.23057534246576,7741.70120547945
BPAT,22,7902.815671232876,211.9498904109589,7690.865780821917
BPAT,23,7890.3598630136985,246.01750684931505,7644.342356164383
CHPD,0,269.2852328767123,7.525041095890412,261.7601917808219
CHPD,1,277.55197260273974,8.375232876712328,269.17673972602745
CHPD,2,277.7944383561644,7.661397260273973,270.13304109589046
CHPD,3,273.1188219178082,6.552767123287671,266.56605479452054
CHPD,4,265.43734246575343,5.905205479452055,259.5321369863014
CHPD,5,256.82465753424657,5.228520547945205,251.59613698630136
CHPD,6,248.09731506849312,4.599369863013699,243.49794520547945
CHPD,7,239.10515068493152,3.5628767123287672,235.54227397260277
CHPD,8,231.46668493150685,2.9419999999999997,228.52468493150684
CHPD,9,226.57046575342466,2.560767123287671,224.009698630137
CHPD,10,227.37783561643838,2.3060273972602743,225.0718082191781
CHPD,11,232.67419178082193,2.1805205479452052,230.49367123287672
CHPD,12,241.49843835616437,2.227150684931507,239.2712876712329
CHPD,13,253.31210958904109,2.7824109589041095,250.52969863013698
CHPD,14,268.1498904109589,3.6006027397260274,264.5492876712329
CHPD,15,281.6154246575343,5.101369863013699,276.5140547945206
CHPD,16,287.24342465753426,4.957369863013698,282.28605479452057
CHPD,17,284.46024657534247,4.677205479452055,279.78304109589044
CHPD,18,276.945397260274,4.291397260273973,272.654
CHPD,19,271.7535342465754,4.392904109589041,267.3606301369863
CHPD,20,268.74547945205484,4.682657534246576,264.0628219178082
CHPD,21,266.6362465753424,4.692246575342466,261.944
CHPD,22,266.43320547945206,5.1888219178082196,261.2443835616439
CHPD,23,267.45983561643834,6.099534246575343,261.360301369863
CISO,0,37049.98830136986,2616.279424657534,34433.70887671233
CISO,1,38335.26561643836,2953.805397260274,35381.46021917809
CISO,2,38664.49953424657,2755.6555616438354,35908.84397260274
CISO,3,38245.22583561644,2379.838602739726,35865.38723287671
CISO,4,37617.24873972603,2104.9234246575343,35512.32531506849
CISO,5,35854.08284931506,1832.6280547945205,34021.45479452055
CISO,6,33480.751616438356,1557.371205479452,31923.380410958907
