BA,Hour,Total_Load_MWh,Transportation_Load_MWh,Non-Transportation_Load_MWh
CISO,17,39028.596849315065,4931.131835616438,34097.46501369863
CISO,18,39391.00821917808,4588.636739726027,34802.37147945206
CISO,19,40094.921534246576,4627.751452054795,35467.170082191784
CISO,20,41042.20378082192,4892.510109589041,36149.693671232875
CISO,21,41751.15805479452,4845.144657534247,36906.01339726028
CISO,22,42920.32767123288,5305.1049863013695,37615.222684931505
CISO,23,44179.33736986302,6106.835890410959,38072.501479452054
DOPD,0,273.53361643835615,15.82449315068493,257.7091232876712
DOPD,1,280.0434246575343,18.14369863013699,261.89972602739726
DOPD,2,280.6467945205479,16.368246575342464,264.2785479452055
DOPD,3,277.8978082191781,14.207424657534247,263.6903835616438
DOPD,4,272.7049863013699,13.100027397260275,259.6049589041096
DOPD,5,263.8508493150685,12.006931506849314,251.84391780821917
DOPD,6,253.07671232876712,11.331863013698628,241.74484931506848
DOPD,7,241.89704109589036,9.410767123287672,232.4862739726027
DOPD,8,232.55753424657533,8.354082191780824,224.20345205479455
DOPD,9,224.95742465753423,7.746712328767123,217.21071232876713
DOPD,10,221.54923287671232,7.332109589041097,214.21712328767123
DOPD,11,222.306,7.143917808219177,215.16208219178083
DOPD,12,225.22471232876714,7.13090410958904,218.09380821917804
DOPD,13,232.94816438356168,8.01117808219178,224.9369863013699
DOPD,14,244.90665753424656,8.706657534246576,236.20000000000005
DOPD,15,259.1866301369863,11.173260273972604,248.0133698630137
DOPD,16,266.27153424657536,10.033506849315067,256.2380273972603
DOPD,17,268.15953424657533,9.239424657534247,258.9201095890411
DOPD,18,265.3307945205479,8.457726027397259,256.8730684931507
DOPD,19,262.98120547945206,8.685835616438355,254.2953698630137
DOPD,20,261.4662739726027,9.60095890410959,251.86531506849315
DOPD,21,259.2519726027397,9.517890410958904,249.73408219178083
DOPD,22,258.90271232876717,10.440219178082193,248.46249315068494
DOPD,23,260.5825205479452,12.60567123287671,247.9768493150685
EPE,0,1390.1932602739726,119.63235616438355,1270.560904109589
EPE,1,1372.6740821917808,115.5158082191781,1257.1582739726027
EPE,2,1343.670301369863,104.544301369863,1239.126
EPE,3,1324.3009315068493,96.87317808219176,1227.4277534246576
EPE,4,1259.123397260274,89.08523287671233,1170.0381643835615
EPE,5,1164.5305205479453,80.16213698630138,1084.368383561644
EPE,6,1071.840493150685,67.15361643835617,1004.6868767123286
EPE,7,990.3071506849315,58.38802739726027,931.9191232876711
EPE,8,923.4904383561643,52.95210958904111,870.5383287671233
EPE,9,885.2954246575343,49.146602739726035,836.1488219178083
EPE,10,871.5613150684932,46.73084931506849,824.8304657534246
EPE,11,876.571506849315,46.65594520547945,829.9155616438356
EPE,12,894.827095890411,52.36161643835616,842.4654794520549
EPE,13,937.0118356164384,64.32438356164384,872.6874520547944
EPE,14,1010.0138356164384,83.49260273972602,926.5212328767124
EPE,15,1078.697506849315,83.51819178082192,995.179315068493
EPE,16,1135.8060547945206,78.65468493150685,1057.1513698630138
EPE,17,1189.4950684931507,73.47238356164384,1116.0226849315068
EPE,18,1245.186109589041,73.55032876712329,1171.6357808219177
EPE,19,1295.2056712328765,75.89298630136986,1219.312684931507
EPE,20,1334.9540273972605,75.39342465753424,1259.560602739726
EPE,21,1374.7219452054794,82.5807397260274,1292.141205479452
EPE,22,1411.1543835616437,93.11432876712328,1318.0400547945205
EPE,23,1438.9980547945206,107.07128767123287,1331.9267671232876
GCPD,0,841.5042739726027,28.375178082191777,813.1290958904109
GCPD,1,844.002,31.79632876712329,812.2056712328767
GCPD,2,840.6603287671234,29.757808219178084,810.902520547945
GCPD,3,834.2868767123289,26.921369863013698,807.365506849315
GCPD,4,822.0427123287672,25.182520547945202,796.8601917808219
GCPD,5,807.4830410958904,23.56465753424657,783.9183835616439
GCPD,6,794.1509863013698,22.39832876712329,771.7526575342466
GCPD,7,780.586082191781,19.720383561643835,760.865698630137
GCPD,8,769.0478356164383,18.075013698630134,750.9728219178081
GCPD,9,761.0269315068493,17.136876712328768,743.8900547945206
GCPD,10,759.486493150685,16.473972602739725,743.0125205479452
GCPD,11,762.6739452054794,16.122328767123285,746.5516164383563
GCPD,12,767.7989315068493,16.073780821917804,751.7251506849315
GCPD,13,778.0572328767122,17.320383561643833,760.7368493150685
GCPD,14,793.4443561643835,18.77621917808219,774.6681369863013
GCPD,15,810.8571780821918,22.427095890410957,788.4300821917809
GCPD,16,819.9202739726027,21.161013698630136,798.7592602739726
GCPD,17,824.157315068493,20.004438356164382,804.1528767123289
GCPD,18,826.0957260273973,19.019342465753425,807.0763835616439
GCPD,19,829.0004383561645,19.334191780821918,809.6662465753425
GCPD,20,831.7555616438357,20.4386301369863,811.3169315068494
GCPD,21,830.5866301369863,20.25060273972603,810.3360273972603
GCPD,22,827.8000821917809,21.532575342465755,806.267506849315
GCPD,23,823.4398356164382,24.393452054794516,799.0463835616438
IID,0,1545.013424657534,794.9384931506848,750.0749315068492
IID,1,1639.9342739726028,897.5124383561644,742.4218356164383
IID,2,1575.420410958904,851.5167397260274,723.9036712328766
IID,3,1463.6463561643834,764.4222465753425,699.2241095890411
IID,4,1377.25498630137,706.4525479452054,670.8024383561643
IID,5,1272.8131780821918,650.5531780821918,622.2600000000001
IID,6,1165.9572328767124,595.2412054794521,570.7160273972603
IID,7,1021.7126849315068,500.8628767123287,520.849808219178
IID,8,915.5764931506849,439.66679452054785,475.9096986301369
IID,9,842.743589041096,402.4977534246575,440.2458356164384
IID,10,792.4984383561643,376.3960547945205,416.1023835616438
IID,11,765.1622465753426,360.9686575342466,404.1935890410959
IID,12,760.8828493150685,360.17279452054794,400.7100547945205
IID,13,804.6106575342466,402.17534246575343,402.4353150684932
IID,14,897.3460821917809,475.897205479452,421.44887671232885
IID,15,1065.5853424657535,609.8501917808219,455.73515068493157
IID,16,1084.4066027397262,594.4661095890411,489.94049315068503
IID,17,1083.2119726027397,556.6577534246576,526.5542191780821
